"Statistic Label","Fuel Type","Year","UNIT","VALUE"
"Primary Energy Production (ktoe)","Solar","1995","ktoe","0"
"Primary Energy Production (ktoe)","Solar","1996","ktoe","0"
"Primary Energy Production (ktoe)","Solar","1997","ktoe","0"
"Primary Energy Production (ktoe)","Solar","1998","ktoe","0"
"Primary Energy Production (ktoe)","Solar","1999","ktoe","0"
"Primary Energy Production (ktoe)","Solar","2000","ktoe","0"
"Primary Energy Production (ktoe)","Solar","2001","ktoe","0"
"Primary Energy Production (ktoe)","Solar","2002","ktoe","0"
"Primary Energy Production (ktoe)","Solar","2003","ktoe","0"
"Primary Energy Production (ktoe)","Solar","2004","ktoe","0"
"Primary Energy Production (ktoe)","Solar","2005","ktoe","0"
"Primary Energy Production (ktoe)","Solar","2006","ktoe","1"
"Primary Energy Production (ktoe)","Solar","2007","ktoe","1"
"Primary Energy Production (ktoe)","Solar","2008","ktoe","3"
"Primary Energy Production (ktoe)","Solar","2009","ktoe","5"
"Primary Energy Production (ktoe)","Solar","2010","ktoe","8"
"Primary Energy Production (ktoe)","Solar","2011","ktoe","9"
"Primary Energy Production (ktoe)","Solar","2012","ktoe","9"
"Primary Energy Production (ktoe)","Solar","2013","ktoe","10"
"Primary Energy Production (ktoe)","Solar","2014","ktoe","11"
"Primary Energy Production (ktoe)","Solar","2015","ktoe","12"
"Primary Energy Production (ktoe)","Solar","2016","ktoe","13"
"Primary Energy Production (ktoe)","Solar","2017","ktoe","13"
"Primary Energy Production (ktoe)","Solar","2018","ktoe","15"
"Primary Energy Production (ktoe)","Solar","2019","ktoe","17"
"Primary Energy Production (ktoe)","Solar","2020","ktoe","19"
"Primary Energy Production (ktoe)","Solar","2021","ktoe","21"
"Primary Energy Production (ktoe)","Solar","2022","ktoe","27"
"Primary Energy Production (ktoe)","Geothermal","1990","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","1991","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","1992","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","1993","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","1994","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","1995","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","1996","ktoe","0"
